userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,
7244,7244,Chaarfutiya Chhokare,-2014,119 min,"Drama, Thriller",5.9,38,Manish Harishankar,Soha Ali Khan,Zakir Hussain,Seema Biswas,
7251,7251,Chabuk Sawar,-1937,,Action,,,Udwadia,Gohar,Jayakumar,Nurjahan,
7252,7252,Chabukwali,-1938,,,,,A.M. Khan,Kamlabai Gokhale,,,
7254,7254,Chabukwali,-1959,,Action,,,Mehroo Bai,Samar Roy,,,
7261,7261,Chacha Bhatija,-1977,161 min,"Action, Comedy, Drama",5.8,213,Manmohan Desai,Dharmendra,Hema Malini,Randhir Kapoor,
7262,7262,Chacha Chowdhury,-1953,,"Drama, Family",,,Raja Paranjpe,Shashikala,Kamal Mehra,Durga Khote,
7264,7264,Chacha Zindabad,-1959,,Comedy,7.2,12,J. Om Prakash,Kishore Kumar,Anita Guha,Master Bhagwan,
7265,7265,Chachi 420,-1997,155 min,"Comedy, Drama, Family",7.4,"12,575",Kamal Haasan,Kamal Haasan,Amrish Puri,Om Puri,
7266,7266,Chadhti Jawani,-2004,,Thriller,,,Anjali Arora,Anil Nagrath,Parineeta,Iqbal Raja,
7270,7270,Chahat,-1971,,"Drama, Romance",5.8,10,Moni Bhattacharjee,Biswajit Chatterjee,Mala Sinha,Jeetendra,
7271,7271,Chahat Ya Nasha: The Dark Addiction,,,"Drama, Romance",,,Sameer Bhatnagar,Neha Bose,Sanjeev Kumar,Preety Sharma,
7273,7273,Chahoonga Main Tujhe,-1993,,"Drama, Romance",6.3,12,Kamal,Kamal Master,Shafi Inamdar,Irfan Kamal,
7274,7274,Chahungi Tujbe Bar Bar,-1989,,,,,B.K. Rao,Aruna Irani,Jainendra,Akbar Khan,
7275,7275,Chai Coffee,-2019,49 min,"Drama, Romance",7.9,11,Ayush Upadhyay,Ayush Upadhyay,Mansi Singh,Megha Jha,
7290,7290,Chai Garam,-2011,,Comedy,,,Aditya Dutt,Esha Deol,Govinda,Ravi Shankar Jaiswal,
7291,7291,Chai Ki Dukan,,,Drama,,,Salil Singh,Razia Khanam,Salil Singh,Pratibha Janmeda,
7295,7295,Chai Pani Etc.,-2004,92 min,Comedy,4.7,24,Manu Rewal,Konkona Sen Sharma,Zafar Karachiwala,Gaurav Kapoor,
7296,7296,Chai Shai Biscuits,,100 min,Comedy,,,Himanshu Bhatnagar,Shraddha Das,Sheeba Chaddha,Shishir Sharma,
7299,7299,Chain Kulii Ki Main Kulii,-2007,118 min,"Comedy, Drama, Family",5.6,"1,214",Karanjeet Saluja,Zain Khan,Rahul Bose,Kapil Dev,
7300,7300,Chaitali,-1975,,Drama,6,39,Hrishikesh Mukherjee,Dharmendra,Saira Banu,Bindu,
7302,7302,Chak De! India,-2007,153 min,"Drama, Family, Sport",8.2,"75,790",Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,
7303,7303,Chakachak,-2005,,Drama,3.9,7,Sai Paranjape,Asrani,Veeni Paranjape Joglekar,Javed Khan,
7306,7306,Chakallaspur,-2017,,Drama,,,Rajnish Jaiswal,Muntazir Ahmad,Krishna Singh Bisht,Urmila Mahanta,
7307,7307,Chakkar,-2017,82 min,"Comedy, Drama, Family",,,Ramveer Tomar,Rajender Kashyap,Uttar Kumar,Lovely Sharma,
7308,7308,Chakkar Pe Chakkar,-1977,138 min,"Action, Comedy, Crime",5.6,27,Ashok Roy,Shashi Kapoor,Rekha,Pran,
