userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,,
388,388,Aanchal,-1980,138 min,"Action, Drama, Family",,
392,392,Aandhi,-1975,133 min,"Drama, Romance",,
395,395,Aandhi-Toofan,-1985,144 min,Drama,,
396,396,Aandhiyan,-1952,136 min,Drama,,
397,397,Aandhiyan,-1990,145 min,Drama,,
401,401,Aani Maani,-2019,94 min,Drama,,
408,408,Aankhen,-1993,170 min,"Action, Comedy, Crime",,
410,410,Aankhen,-2002,165 min,"Crime, Drama, Thriller",,
413,413,Aankhon Aankhon Mein,-1972,154 min,"Drama, Romance",,
416,416,Aansoo Aur Muskan,-1970,150 min,"Comedy, Drama, Family",,
426,426,Aao Pyaar Karen,-1994,141 min,Romance,,
427,427,Aao Wish Karein,-2009,140 min,"Comedy, Family, Fantasy",,
428,428,Aap Aye Bahaar Ayee,-1971,119 min,"Comedy, Drama, Romance",,
429,429,Aap Beati,-1976,145 min,"Drama, Family",,
435,435,Aap Ki Kasam,-1974,153 min,"Romance, Drama",,
436,436,Aap Ki Khatir,-1977,115 min,"Action, Comedy, Drama",,
437,437,Aap Ki Khatir,-2006,122 min,"Comedy, Romance",,
439,439,Aap Ki Parchhaiyan,-1964,128 min,"Drama, Family, Romance",,
441,441,Aap Mujhe Achche Lagne Lage,-2002,180 min,"Action, Drama, Romance",,
444,444,Aap To Aise Na The,-1980,145 min,"Romance, Drama, Family",,
446,446,Aapas Ki Baat,-1981,148 min,"Action, Romance",,
447,447,Aapko Pehle Bhi Kahin Dekha Hai,-2003,145 min,"Action, Comedy, Drama",,
449,449,Aar Paar,-1985,125 min,Action,,
451,451,Aar Ya Paar,-1997,180 min,Thriller,,
452,452,Aarakshan,-2011,164 min,"Drama, Thriller",,
458,458,Aarop,-1974,129 min,Drama,,
459,459,Aar-Paar,-1954,146 min,"Musical, Romance, Thriller",,
460,460,Aarti,-1962,156 min,"Family, Musical, Romance",,
462,462,Aarya,-2007,157 min,"Action, Drama, Romance",,
466,466,Aarzoo,-1999,175 min,"Drama, Romance",,
472,472,Aasha,-1957,171 min,"Comedy, Romance",,
473,473,Aasha,-1980,123 min,"Drama, Musical, Romance",,
475,475,Aashayein,-2010,120 min,Drama,,
479,479,Aashiq,-1962,150 min,Romance,,
480,480,Aashiq,-2001,160 min,"Action, Drama, Romance",,
481,481,Aashiq Banaya Aapne: Love Takes Over,-2005,115 min,"Drama, Romance, Thriller",,
482,482,Aashiq Hoon Baharon Ka,-1977,136 min,Romance,,
484,484,Aashiqui,-1990,152 min,"Musical, Drama, Romance",,
485,485,Aashiqui 2,-2013,132 min,"Drama, Music, Musical",,
486,486,Aashiqui.In,-2011,109 min,"Drama, Romance",,
487,487,Aashirwad,-1968,146 min,Drama,,
488,488,Aashmani Jawaharat,-2014,132 min,Drama,,
489,489,Aasma,-2018,105 min,"Action, Crime, Drama",,
490,490,Aasma: The Sky Is the Limit,-2009,240 min,Drama,,
492,492,Aasmaan,-1984,145 min,"Drama, Mystery",,
493,493,Aasmaan Mahal,-1965,172 min,Drama,,
494,494,Aasmaan Se Gira,-1992,88 min,"Adventure, Comedy, Romance",,
495,495,Aasoo Bane Angaarey,-1993,150 min,Action,,
496,496,Aasra,-1966,161 min,"Drama, Family",,
499,499,Aastha: In the Prison of Spring,-1997,132 min,Drama,,
500,500,Aatank,-1996,113 min,"Action, Thriller",,
501,501,Aatank Hi Aatank,-1995,155 min,"Action, Crime, Drama",,
503,503,Aathi,-2006,167 min,"Action, Drama, Thriller",,
505,505,Aatish,-1979,139 min,Action,,
506,506,Aatish: Feel the Fire,-1994,155 min,"Action, Crime, Drama",,
507,507,Aatma,-2006,107 min,"Crime, Drama, Horror",,
508,508,Aatma,-2013,100 min,"Drama, Horror, Thriller",,
512,512,Aavida Maa Aavide,-1998,153 min,"Comedy, Romance",,
513,513,Aavishkar,-1974,107 min,"Drama, Romance",,
514,514,Aawaz,-1956,146 min,Romance,,
518,518,Aaya Toofan,-1964,128 min,"Action, Adventure, Fantasy",,
519,519,Aaya Toofan,-1999,111 min,Action,,
522,522,Aaye Din Bahar Ke,-1966,170 min,"Musical, Romance",,
524,524,Aazaan,-2011,125 min,"Action, Musical, Thriller",,
525,525,Aazmayish,-1995,147 min,"Action, Drama, Romance",,
526,526,Ab Ayega Mazaa,-1984,128 min,Comedy,,
529,529,Ab Dilli Dur Nahin,-1957,133 min,Drama,,
530,530,Ab Hoga Dharna Unlimited,-2012,78 min,Comedy,,
531,531,Ab Insaf Hoga,-1995,125 min,"Action, Drama",,
537,537,Ab Tak Chhappan,-2004,129 min,"Action, Crime, Drama",,
538,538,Ab Tak Chhappan 2,-2015,106 min,"Action, Crime, Thriller",,
539,539,Ab To Aaja Saajan Mere,-1994,127 min,"Drama, Romance",,
541,541,Ab Tumhare Hawale Watan Saathiyo,-2004,193 min,"Action, Drama, War",,
544,544,Ab... Bas!,-2004,137 min,"Romance, Thriller",,
546,546,ABCD (Any Body Can Dance),-2013,160 min,"Drama, Music",,
549,549,Abdullah,-1980,136 min,"Action, Drama, Romance",,
551,551,Abe Hayat,-1955,140 min,"Action, Adventure, Fantasy",,
553,553,Abhay,-1995,127 min,Fantasy,,
556,556,Abhi To Jee Lein,-1977,135 min,"Action, Drama, Thriller",,
560,560,Abhilasha,-1968,141 min,"Drama, Romance",,
563,563,Abhimaan,-1973,122 min,"Drama, Musical",,
565,565,Abhimanyu,-1991,140 min,"Crime, Drama, Musical",,
566,566,Abhimanyu,-1989,168 min,"Action, Comedy, Drama",,
568,568,Abhinetri,-1970,154 min,"Drama, Romance",,
576,576,Abodh,-1984,132 min,Drama,,
582,582,Accident on Hill Road,-2010,105 min,"Crime, Drama, Thriller",,
583,583,Achanak,-1973,96 min,"Crime, Drama",,
584,584,Achanak,-1998,160 min,"Action, Mystery, Thriller",,
591,591,Achhut Kanya,-1936,142 min,"Drama, Musical, Romance",,
592,592,Acid Factory,-2009,108 min,"Action, Crime, Mystery",,
594,594,Action,-2019,158 min,"Action, Adventure, Thriller",,
596,596,Action Jackson,-2014,144 min,"Action, Crime, Thriller",,
598,598,Action Replayy,-2010,129 min,"Comedy, Romance, Sci-Fi",,
602,602,Ada... A Way of Life,-2010,120 min,"Action, Crime, Drama",,
606,606,Adalat,-1958,139 min,"Drama, Musical, Romance",,
607,607,Adalat,-1976,138 min,"Action, Drama, Family",,
616,616,Adhi Raat Ke Baad,-1965,137 min,"Action, Drama, Mystery",,
618,618,Adhikar,-1954,126 min,"Comedy, Drama, Romance",,
622,622,Adhipathi,-2001,151 min,"Action, Drama",,
627,627,Adhura Sapna,-2007,88 min,Drama,,
634,634,Adhurs,-2010,150 min,"Action, Comedy, Thriller",,
636,636,Adi Shankaracharya,-1983,130 min,"Biography, Drama",,
639,639,Adil-E-Jahangir,-1955,150 min,Drama,,
641,641,Adisaya Piravi,-1990,145 min,"Action, Comedy, Fantasy",,
649,649,Adrishya,-2017,106 min,"Drama, Family, Horror",,
650,650,Adutha Varisu,-1983,122 min,Drama,,
651,651,Adventure Kids Hindi Film,-2019,120 min,Adventure,,
652,652,Adventures of Aladdin,-1978,151 min,Adventure,,
653,653,Adventures of Ali-Baba and the Forty Thieves,-1980,153 min,"Action, Adventure, Family",,
655,655,Adventures of Tarzan,-1985,135 min,"Action, Adventure, Comedy",,
657,657,Ae Dil Hai Mushkil,-2016,158 min,"Drama, Music, Musical",,
660,660,Aetbaar,-2004,152 min,"Action, Drama, Musical",,
663,663,Aflatoon,-1997,153 min,"Action, Comedy, Crime",,
670,670,Africadalli Sheela,-1986,134 min,"Adventure, Thriller",,
671,671,Afsana,-1966,134 min,"Drama, Romance",,
672,672,Afsana,-1951,168 min,"Drama, Family",,
673,673,Afsana Dilwalon Ka,-2001,195 min,"Drama, Romance",,
674,674,Afsana Pyar Ka,-1991,145 min,"Drama, Romance",,
675,675,Afsar,-1950,121 min,"Comedy, Romance",,
678,678,After the Third Bell,-2014,92 min,"Crime, Mystery",,
683,683,Agar Tum Na Hote,-1983,161 min,"Drama, Family",,
685,685,Agathiyar,-1972,153 min,"Adventure, Comedy, Drama",,
689,689,Agent Vinod,-1977,139 min,"Action, Crime, Drama",,
690,690,Agent Vinod,-2012,157 min,"Action, Adventure, Thriller",,
693,693,Aghaat,-1985,138 min,"Drama, Crime",,
695,695,Agnee,-1988,153 min,"Action, Drama, Romance",,
696,696,Agnee Morcha,-1997,142 min,Action,,
697,697,Agneekaal,-1990,161 min,"Action, Crime, Drama",,
698,698,Agneepath,-1990,174 min,"Action, Crime, Drama",,
699,699,Agneepath,-2012,174 min,"Action, Crime, Drama",,
700,700,Agni IPS,-1997,137 min,Action,,
703,703,Agni Pareeksha,-1981,130 min,"Crime, Drama",,
707,707,Agni Sakshi,-1996,142 min,"Drama, Musical, Romance",,
708,708,Agnichakra,-1997,123 min,Action,,
710,710,Agniputra,-2000,140 min,Action,,
711,711,Agnivarsha: The Fire and the Rain,-2002,126 min,"Drama, Fantasy, Romance",,
714,714,Agreement,-1980,124 min,"Musical, Comedy, Drama",,
715,715,Agyaat,-2009,130 min,"Drama, Horror, Mystery",,
716,716,Ahaan,-2019,81 min,"Comedy, Drama",,
718,718,Ahankaar,-1995,145 min,Drama,,
721,721,Ahinsa,-1979,103 min,"Action, Drama",,
724,724,Ahista Ahista,-1981,141 min,"Musical, Romance",,
725,725,Ahista Ahista,-2006,122 min,"Drama, Romance",,
727,727,Ahsaas,-1979,144 min,"Drama, Romance",,
732,732,Airlift,-2016,130 min,"Drama, History",,
737,737,Aisa Yeh Jahaan,-2015,120 min,Drama,,
739,739,Aisha,-2010,126 min,"Comedy, Drama, Romance",,
740,740,Aisi Bhi Kya Jaldi Hai,-1996,132 min,"Comedy, Romance",,
741,741,Aisi Deewangi,-2009,125 min,"Action, Comedy, Drama",,
742,742,Aitbaar,-1985,133 min,"Romance, Thriller",,
743,743,Aitraaz,-2004,160 min,"Drama, Romance, Thriller",,
744,744,Aiyaary,-2018,157 min,"Action, Drama, Thriller",,
746,746,Aiyyaa,-2012,152 min,"Comedy, Romance",,
747,747,Ajab Gazabb Love,-2012,116 min,"Comedy, Romance",,
748,748,Ajab Prem Ki Ghazab Kahani,-2009,150 min,"Action, Comedy, Romance",,
749,749,Ajab Singh Ki Gajab Kahani,-2017,115 min,Drama,,
752,752,Ajanabee,-1974,139 min,"Drama, Romance",,
753,753,Ajay,-1996,146 min,"Action, Drama, Romance",,
756,756,Ajeeb Daastaans,-2021,142 min,"Drama, Romance",,
762,762,Ajji,-2017,104 min,Drama,,
763,763,Ajnabee,-2001,165 min,"Action, Crime, Drama",,
767,767,Ajooba,-1991,178 min,"Action, Adventure, Comedy",,
769,769,AK 47,-2004,125 min,"Action, Thriller",,
770,770,AK vs AK,-2020,108 min,"Action, Comedy, Crime",,
772,772,Akaash Vani,-2013,149 min,"Drama, Romance",,
780,780,Akashdeep,-1965,136 min,Drama,,
783,783,Akayla,-1991,180 min,"Action, Drama, Thriller",,
784,784,Akbar Saleem Anarkali,-1979,139 min,"Drama, History, Musical",,
789,789,Akela the Alone,-2014,58 min,Thriller,,
790,790,Akele Hum Akele Tum,-1995,160 min,Drama,,
791,791,Akeli,-1999,165 min,Romance,,
796,796,Akhiyon Se Goli Maare,-2002,146 min,"Comedy, Romance",,
797,797,Akhri Muqabla,-1989,132 min,"Action, Drama",,
801,801,Aks,-2001,184 min,"Action, Crime, Horror",,
802,802,Aksar,-2006,135 min,"Drama, Romance, Thriller",,
803,803,Aksar 2,-2017,127 min,"Crime, Drama, Mystery",,
806,806,Alaap,-1977,160 min,"Drama, Musical",,
807,807,Aladdin and the Wonderful Lamp,-1952,144 min,"Adventure, Fantasy",,
