,Unnamed: 0,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics,Director,Actor,genres,movie_title,Actor_name,comb
3421,61561.0,tt1744880,Puthukkottaielerenthu Saravanan,Puthukkottaielerenthu Saravanan,2004.0,2004-01-14,"Action, Adventure, Romance",150.0,India,Tamil,S.S. Stanley,"S.S. Stanley, S.S. Stanley",Indian Theatre Productions,"Dhanush, Peter Hein, Karunas, Mayoori, Aparna Pillai, V. Swaminathan, Tharika","Saravanan comes to Singapore for a job but lands in trouble lose his passport and are on the run. Desperate to get back home, he accepts the job of taking a girl to India in return for a hefty sum.",3.8,198.0,,,,,,,,,,,,
3422,61570.0,tt1745863,Urumi,Urumi,2011.0,2011-03-31,"Action, Drama",150.0,India,Malayalam,Santosh Sivan,"Shankar Ramakrishnan, Shankar Ramakrishnan",August Cinema,"Prithviraj Sukumaran, Prabhu Deva, Genelia D'Souza, Nithya Menen, Jagathi Sreekumar, Vidya Balan, Ankur Khanna, Alexx O'Nell, Arya, Amole Gupte, Robert Lang, Robin Pratt, Tabu","Chirakkal Kelu Nayanar, a warrior in 16th century Kerala wants to avenge his father killed in a confrontation with Vasco da Gama and his troops and is assisted by his best friend Vavvali and warrior princess Ayesha.",7.0,1731.0,200000000.0,,7315.0,,19.0,6.0,,,,,,
3423,61597.0,tt1753383,Qua la zampa!,A Dog's Purpose,2017.0,2017-01-19,"Adventure, Comedy, Drama",100.0,"USA, India",English,Lasse Hallström,"W. Bruce Cameron, Cathryn Michon",DreamWorks,"Josh Gad, Dennis Quaid, Peggy Lipton, Bryce Gheisar, K.J. Apa, Juliet Rylance, Luke Kirby, Gabrielle Rose, Michael Bofshever, Britt Robertson, Logan Miller, Kirby Howell-Baptiste, Pooch Hall, John Ortiz, Nicole LaPlaca",A dog looks to discover his purpose in life over the course of several lifetimes and owners.,7.2,63485.0,22000000.0,64508620.0,205736628.0,43.0,422.0,145.0,,,,,,
3424,61606.0,tt1753640,Crook: It's Good to Be Bad,Crook: It's Good to Be Bad,2010.0,2010-10-08,"Action, Drama, Thriller",121.0,India,"Hindi, English",Mohit Suri,"Kumaar, Mohit Suri",Films & Casting Temple Pvt. Ltd. Sydney,"Emraan Hashmi, Neha Sharma, Arjan Bajwa, Mashhoor Amrohi, Kavin Dave, Shella Alan, Francis Chouler, Jeffrey Tangreo Tsoutsos, Aman Hora, Jaideep Suri, J. Brandon Hill, Darmendra Singh, Shabnam, Viineet Kumar, Elan",Corrupt police and racially motivated attacks against Indian students complicate a re-located crook's life in Australia.,5.1,1830.0,3000000.0,,27345.0,,6.0,2.0,,,,,,
3425,61644.0,tt1754137,Little Terrors,Little Terrors,2014.0,2014-09-12,Drama,103.0,"Canada, India","Hindi, Urdu, English",Maninder Chana,Maninder Chana,IRN Films,"Om Puri, Deep Dhillon, Aamrik Arjun, Armaan Kabli, Sandeep Dey, Harjot Thandi, Sameer Anthwal, Dulha Bajwa, Darryl Dougherty, Nirmal Rishi, Sher Gill, Kapil Kalyan, Tarun David, Martin McNenly, Gurdas","A 13-year-old American boy is recruited by terrorists to bomb a U.S. embassy in Delhi. After being brainwashed he is sent to live with a Muslim family prior to the attack. However, the man ...",5.9,105.0,,,,,2.0,6.0,,,,,,
3426,61647.0,tt1754202,Michael,Michael,2011.0,2011-09-15,"Drama, Thriller",97.0,India,Hindi,Ribhu Dasgupta,"Debaloy Bhattacharya, Ribhu Dasgupta",Bohra Bros Productions,"Naseeruddin Shah, Mahie Gill, Sabyasachi Chakrabarty, Iravati Harshe, Rudranil Ghosh, June Malia, Churni Ganguly, Purav Bhandare, Shridhar Watsar, Shaiju Nambiadath","Set in Kolkata, this is a character-driven psychological drama in which MICHAEL (Naseeruddin Shah), a loyal, hardworking police officer is ordered by his superiors to open fire on a ...",5.3,120.0,,,,,,3.0,,,,,,
3427,61656.0,tt1754332,Paappi Appachaa,Paappi Appachaa,2010.0,2010-04-14,"Comedy, Drama",161.0,India,Malayalam,Mamas Chandran,"Mamas Chandran, Mamas Chandran",,"Asokan, Dharmajan Bolgatty, Dileep, Innocent, Thezni Khan, Suresh Krishna, K.P.A.C. Lalitha, Kavya Madhavan, Majeed, Manikandan, Shobha Mohan, Narayanankutty, Nandu Poduval, Kalabhavan Prachod, Kochu Preman",A notorious father-son duo shares a friendly rapport. Things take a turn when a village woman stands against them and circumstances force them to go their separate ways.,4.8,185.0,,,,,1.0,,,,,,,
3428,61660.0,tt1754394,Ragada,Ragada,2010.0,2010-12-24,"Action, Comedy",146.0,India,"Telugu, English",Veeru Potla,"Veeru Potla, Veeru Potla",Kamakshi Studio,"Nagarjuna Akkineni, Anushka Shetty, Priyamani, Pradeep Singh Rawat, Srinivasa Rao Kota, Dev Gill, Dharmavarapu Subramanyam, Brahmanandam, Master Bharath, Raghu Babu, Banerjee, Satya Prakash, Bharath Reddy, Supreet, Tanikella Bharani",A local village rowdy arrives in the city to earn money by any means and participates in a brawl between two rivals that brings him to their attention.,6.1,816.0,,,171500000.0,,4.0,1.0,,,,,,
3429,61688.0,tt1754920,Yeh Saali Zindagi,Yeh Saali Zindagi,2011.0,2011-02-04,"Crime, Drama, Thriller",130.0,India,Hindi,Sudhir Mishra,"Manu Rishi Chadha, Swanand Kirkire",Cineraas Productions,"Irrfan Khan, Chitrangda Singh, Arunoday Singh, Aditi Rao Hydari, Saurabh Shukla, Yashpal Sharma, Sushant Singh, Prashant Narayanan, Anil Sharma, Vipin Sharma, Nassar Abdulla, Aditya Bhattacharya, Tarun Kumar, Masood Akhtar, Vipul Gupta",Gangsters kidnap the prospective son-in-law of a politician in order to secure the release of an imprisoned gang-member.,7.5,4367.0,100000000.0,,,,25.0,20.0,,,,,,
3430,61694.0,tt1756476,Dookudu,Dookudu,2011.0,2011-09-23,"Action, Comedy",170.0,India,Telugu,Sreenu Vaitla,"Gopimohan, Sreenu Vaitla",14 Reels Entertainment,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Srinivasa Rao Kota, Prakash Raj, Rajeev Kanakala, Brahmanandam, Chandramohan, Vennela Rama Rao, Sayaji Shinde, Nassar, Tanikella Bharani, Master Bharath, Pragathi, Surekha Vani","Ajay, (Mahesh Babu) an undercover cop, is assigned to catch a dangerous mafia don with whom he has a personal score to settle.",7.4,12389.0,250000000.0,,,,26.0,9.0,,,,,,
3431,61712.0,tt1757671,Anwar,Anwar,2010.0,2010-10-15,"Action, Drama, Thriller",128.0,India,"Malayalam, Tamil",Amal Neerad,Amal Neerad,Celebs & Red Carpet,"Prithviraj Sukumaran, Prakash Raj, Mamta Mohandas, Lal, Assim Jamal, Molly Kannamaly, Nithya Menen",The revenge of anwar against the terrorists who killed anwer's family in a bomb blast. After the Blast anwar plan a secrete mission to find the faces behind the Blast.,6.3,605.0,40000000.0,,,,4.0,,,,,,,
3432,61717.0,tt1757772,Jackie,Jackie,2010.0,2010-10-14,"Action, Comedy",126.0,India,Kannada,"Soori, Soori",Soori,,"Puneeth Rajkumar, Bhavana, Harshika Poonacha, Shobharaj, Apoorva, Kaddipudi Chandru, Ravi Kale, Darling Krishna, Honnavalli Krishna, Varsha Krishnan, B. Lalita, Nisha, Petrol Prasanna, Rangayana Raghu, Sampath Raj","Life takes a turn for Jackie, a happy-go-lucky chap who has to go in search of a girl for whose disappearance he has taken the blame.",7.1,1402.0,70000000.0,,,,3.0,,,,,,,
3433,61718.0,tt1757796,Life Before Wedding,Life Before Wedding,2010.0,2011-02-18,"Comedy, Drama, Romance",100.0,India,"English, Telugu",Praveen Sattaru,Praveen Sattaru,,"Monica Day, Nishanti Evani, Chinmayi Ghatrazu, Rohan Gudlavalleti, Sidhu Jonnalagadda, Giouli Koukouraki, Mangal Murthy, Christos Papasavvas, Abhijeeth Poondla, Asif Taj","Jai and Rishi, two best friends, are introduced to Anu, while Radhika is in love with Rajesh. But things take a turn when Varun enters Radhika's life and Anu must decide whom to marry.",7.1,143.0,,,,,1.0,,,,,,,
3434,61808.0,tt1772332,Pappu Can't Dance Saala,Pappu Can't Dance Saala,2010.0,2011-12-16,"Comedy, Drama, Romance",138.0,India,"Hindi, Marathi, English",Saurabh Shukla,"Rahul Awate, Saurabh Shukla",Marriedprint Films,"Vinay Pathak, Neha Dhupia, Rajat Kapoor, Brijendra Kala, Mushtaq Rauf, Sai Ballal, Mohammad Shamim, Veena Mehta, Ratishankar Tripathi, Anand Abhyankar, Reema Debnath, Subhashani Dewada, Sai Gundewar, Sanjay Mishra, Naseeruddin Shah",One time bickering neighbors are forced to share the same apartment.,6.5,426.0,,,,,4.0,10.0,,,,,,
